,rmse,mean,median,std,min,max,sse
rpe_rot_5m.zip,28.21278672282671,15.91714473217979,7.208362988166529,23.29390131005427,0.10372287254668347,101.33667479545811,592195.2329927741
rpe_rot_10m.zip,38.09554483448833,26.024953527635628,15.365833667526271,27.820358195409987,0.27008115108481584,102.71444081685586,1050719.8682352335
rpe_rot_20m.zip,51.959428850458195,43.50619352292628,37.683774184569614,28.40762875728127,4.510962910501859,101.5334389327151,1703562.5975199372
